contig,S102_Sub,S106_Sub,S110_Sub,S156_Sub,S161_Sub,S166_Sub,S1_Sub,S211_Sub,S216_Sub,S221_Sub,S266_Sub,S271_Sub,S276_Sub,S54_Sub,S58_Sub,S5_Sub,S62_Sub,S9_Sub
Rubrobacter,7,16,9,8,12,22,29,11,14,8,8,15,12,9,12,16,6,8
Dehalococcoides,32,25,17,20,20,12,8,22,10,21,32,21,31,29,34,10,38,10
Carnobacterium,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Alcanivorax,2,0,4,1,7,9,9,6,4,5,4,4,4,5,2,7,3,3
Zobellia,1,3,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,1
Oceanobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Rhodopseudomonas,22,32,8,24,22,67,51,51,40,44,46,82,39,19,23,48,26,19
Erysipelothrix,0,1,1,0,0,0,1,0,0,0,1,0,3,1,0,0,1,0
Gallibacterium,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Francisella,2,0,0,3,1,0,0,2,3,3,2,0,3,1,0,0,4,0
Pelobacter,58,52,44,72,68,66,83,87,61,67,142,267,266,107,96,100,119,88
Methanosarcina,38,51,51,64,57,19,31,56,32,34,41,18,47,44,65,18,43,56
Azoarcus,10,15,6,8,5,13,10,10,11,11,10,10,17,10,6,42,11,11
Muricauda,0,0,0,0,2,0,1,3,0,0,0,0,0,0,1,0,0,0
Anaerococcus,2,0,1,0,2,2,0,1,0,0,1,1,2,1,0,1,1,0
Selenomonas,8,7,7,8,5,11,15,5,4,5,6,17,6,8,13,18,9,7
Thermomicrobium,2,4,4,4,2,8,14,2,7,11,5,2,4,3,0,15,2,6
Desulfomonile,61,35,35,38,42,29,18,50,56,74,72,43,63,33,27,17,34,25
Rhodoferax,6,7,14,11,7,10,20,15,4,14,8,11,5,6,3,23,13,13
Beutenbergia,1,6,3,3,1,2,3,3,1,0,0,2,1,1,2,5,6,2
Halorhodospira,11,13,10,8,16,16,28,12,13,7,7,17,4,15,13,22,10,24
Chamaesiphon,0,0,1,0,0,1,1,2,0,3,3,1,0,0,0,0,0,0
Sideroxydans,7,7,3,8,8,9,7,4,3,1,8,7,5,8,4,9,3,3
Thermobifida,3,0,1,3,0,4,1,1,2,0,0,2,1,0,2,6,3,0
Sulfurihydrogenibium,1,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0
Sphingobacterium,6,3,4,4,5,2,0,10,11,5,1,6,6,7,5,0,6,3
Laribacter,7,5,1,3,2,9,1,4,4,2,5,2,2,2,7,4,3,2
Polynucleobacter,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0
Chelativorans,5,7,15,10,3,7,11,16,6,14,7,12,11,12,15,13,30,31
Micavibrio,7,2,1,3,0,2,2,5,5,3,1,1,2,2,4,2,2,1
Alteromonas,16047,17719,26957,16875,64529,16644,11883,14559,23589,41020,23453,28232,20189,20626,22438,27466,15147,21447
Paracoccus,2,11,7,9,7,11,10,6,13,3,8,10,10,5,8,24,6,10
Orthopoxvirus,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
Sulfolobus,0,1,0,2,0,0,0,1,0,1,1,0,3,0,0,0,0,0
Desulfurivibrio,15,14,10,21,8,19,19,13,15,15,19,24,23,15,20,24,13,18
Thermoproteus,1,1,2,2,0,1,1,0,0,2,1,3,2,3,2,3,1,0
Nitrosospira,4,0,5,2,2,7,3,7,2,1,1,1,4,0,1,1,1,6
Leadbetterella,5,5,0,0,2,0,0,2,2,1,1,0,0,0,1,0,0,1
Melioribacter,7,5,4,6,5,2,0,7,8,4,6,7,2,9,2,1,3,9
Salmonella,5,4,4,6,2,8,3,5,4,5,6,4,3,6,6,21,4,18
Ketogulonicigenium,1,2,0,2,2,0,4,2,1,6,2,9,1,2,0,10,2,3
